STATE,Census Region,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama beer consumption,East South Central,827822.0,922844.0,1006303.0,1067663.0,1212832.0,1378047.0,1490404.0,1605459.0,1717319.0,1773926.0,2010229.0,2042449.0,2082653.0,2054313.0,2205510.0,2198152.0,2259208.0,2318552.0,2420441.0,2517748.0,2552770.0,2569459.0,2583597.0,2613617.0,2646319.0,2722770.0,2746929.0,2847290.0,2820439.0,2888198.0,2891862.0,2970376.0,3002112.0,3028088.0,3013532.0,3057888.0,3115154.86,3205217.15,3207970.65,3319531.98,3415002.88,3459771.77,3414775.07,3381688.71,3400004.02,3425053.58,3293704.39,3371116.66,3369809.95,3461017.89,3347871.51,3302443.51,3393539.05,3423468.21,2012568.24
Alaska beer consumption,Pacific,133624.0,136228.0,151792.0,173277.0,204375.0,194788.0,208162.0,245107.0,286459.0,307891.0,300166.0,298997.0,316992.0,333883.0,377347.0,409609.0,448564.0,457636.0,461254.0,474547.0,452933.0,442221.0,439485.0,471201.0,464777.0,487810.0,451181.0,482039.0,477539.0,439107.0,453518.0,465048.0,486634.0,466229.0,479692.0,495822.0,428056.42,451830.83,493340.48,500496.86,487329.41,468703.58,428023.97,454629.33,466153.21,475298.39,485976.06,475982.56,488036.46,463118.77,451001.53,458445.44,461378.62,443728.8,271546.01
Arizona beer consumption,Mountain,952436.0,1023691.0,1146830.0,1245288.0,1349576.0,1546738.0,1721926.0,1877055.0,1923981.0,2026011.0,2162831.0,2294570.0,2505922.0,2627307.0,2825035.0,2786982.0,2804068.0,2938984.0,3066034.0,3239554.0,3255640.0,3299231.0,3328424.0,3383843.0,3386594.0,3467000.0,3571600.0,3573400.0,3703964.0,3933277.0,3948730.0,4000034.0,4246358.0,4287390.0,4433682.0,4449281.0,4432752.58,4612085.94,4595972.71,4825856.87,4845440.24,4708088.17,4613048.51,4476623.39,4390247.92,4436917.28,4435945.85,4489323.23,4347616.23,4393368.81,4372726.11,4428542.67,4436160.52,4768601.09,2775611.81
Arkansas beer consumption,West South Central,569214.0,645520.0,681061.0,721868.0,807100.0,826266.0,901498.0,997282.0,1024638.0,1008464.0,1100361.0,1179469.0,1181890.0,1291071.0,1363009.0,1325065.0,1345275.0,1356909.0,1379848.0,1427635.0,1460059.0,1458222.0,1475361.0,1511703.0,1522222.0,1550956.0,1544300.0,1556600.0,1551693.0,1623274.0,1611266.0,1662084.0,1676132.0,1697506.0,1686289.0,1694445.0,1709626.09,1760665.6,1735669.69,1771838.87,1770220.2,1857114.69,1810649.47,1795441.26,1783278.3,1800387.16,1779500.1,1721807.69,1688228.24,1674784.86,1674552.01,1647806.04,1647861.83,1705637.76,1071823.51
California beer consumption,Pacific,10110919.0,10600938.0,11115257.0,11730448.0,12270878.0,12965419.0,13466541.0,14975390.0,15045832.0,16028042.0,16831098.0,17972704.0,18964257.0,19538050.0,20095725.0,19690171.0,20036505.0,20631598.0,20374349.0,21507333.0,21548265.0,21717529.0,22215878.0,22893592.0,21855794.0,21269701.0,20924301.0,20490547.0,20058944.0,19661975.0,20247745.0,20339789.0,20581191.0,20551239.0,20690116.0,20831244.11,20712307.93,21699836.13,21758736.9,23028755.09,23204529.12,23583042.38,22958866.41,22659198.71,23129365.42,22617857.52,22776603.68,23532173.64,23729987.74,23499163.1,23545247.55,23210999.77,23098120.58,22986794.48,13192571.06
Colorado beer consumption,Mountain,1035278.0,1118973.0,1225980.0,1359510.0,1463181.0,1627217.0,1784907.0,1940711.0,1998908.0,2089141.0,2123007.0,2250008.0,2453077.0,2589336.0,2734603.0,2703149.0,2679570.0,2632894.0,2626720.0,2687309.0,2637555.0,2575069.0,2556034.0,2571867.0,2564650.0,2647592.0,2698728.0,2705902.0,2856066.0,3052332.0,3010554.64,3180221.0,3243356.0,3339663.0,3564175.0,3534110.0,3355374.7,3484452.11,3484548.73,3515522.44,3614622.9,3644188.46,3558410.95,3554829.06,3572266.75,3628448.64,3694748.06,3742103.29,3663262.45,3820843.94,3794838.0,3910645.19,3984180.55,3927696.1,2540093.61
Connecticut beer consumption,New England,1529698.0,1548398.0,1579586.0,1602579.0,1625187.0,1589750.0,1715717.0,1766254.0,1814020.0,1801167.0,1867608.0,1930891.0,2035494.0,1911329.0,1916055.0,1951091.0,2041826.0,2063335.0,2131896.0,2126877.0,2181136.0,2157575.0,2069616.0,2104449.0,1988003.0,1939380.0,1887604.0,1893136.0,1862562.0,1818366.0,1840482.0,1873410.0,1886584.0,1854550.0,1887492.0,1915637.0,1898191.24,1889112.95,1850876.07,1905220.64,1929250.64,1944954.45,1879768.84,1912545.1,1872644.61,1901859.16,1799643.61,1806860.61,1821789.16,1830490.06,1767511.68,1739101.39,1743333.03,1713190.77,1008991.55
Delaware beer consumption,South Atlantic,301858.0,308842.0,330497.0,331077.0,353163.0,365758.0,373189.0,383620.0,391140.0,401119.0,429982.0,438314.0,456211.0,490368.0,518111.0,530032.0,539208.0,525733.0,526566.0,530565.0,538431.0,547119.0,540927.0,555335.0,547158.0,559350.0,591104.0,588993.0,548522.0,575431.0,588113.0,600080.0,615114.0,617937.0,639343.0,647447.0,657736.0,688562.0,707143.0,723941.0,736398.0,723426.0,711442.0,725442.0,727265.0,727676.0,705667.0,691061.0,687772.0,694311.0,687425.0,658473.36,659819.21,669495.1,404716.0
District of Columbia beer consumption,South Atlantic,595433.0,592550.0,587207.0,577006.0,567641.0,553701.0,569750.0,560974.0,550627.0,532002.0,541655.0,553844.0,560749.0,539928.0,591452.0,559383.0,577648.0,586560.0,542919.0,562700.0,546000.0,529800.0,523800.0,523400.0,516300.0,577300.0,546000.0,528100.0,522003.0,474287.0,474297.0,464557.0,467440.0,465423.0,442054.0,430607.0,421292.14,426415.77,442377.08,439643.17,441544.97,440468.11,415830.63,421746.23,429298.29,449507.55,446013.35,454558.92,457099.54,447937.96,438529.33,413404.91,408754.34,324804.11,205000.0
Florida beer consumption,South Atlantic,3152672.0,3315822.0,3627035.0,4039606.0,4624035.0,5142264.0,5781948.0,6269260.0,6470064.0,6444764.0,6826822.0,7613831.0,8703815.0,9240708.0,9306948.0,9576431.0,9877123.0,10282598.0,10617253.0,11127472.0,11468780.0,11273284.0,11533935.0,11703197.0,11552027.0,11615425.0,11495096.0,11626428.0,11603750.0,11760237.0,11914737.0,11834300.0,12027500.0,12236618.0,12422344.0,12814818.05,13461923.0,13882667.78,14084997.32,14159580.03,14041302.69,13819232.93,13465926.89,12869196.25,12962102.3,13058384.92,13148507.23,13337874.09,13600061.82,13672863.42,13659100.34,13468065.39,13377320.85,13729020.39,8810297.18
Georgia beer consumption,South Atlantic,1339546.0,1504451.0,1706150.0,1873828.0,2092872.0,2249395.0,2377670.0,2574118.0,2558231.0,2651616.0,2932313.0,3186353.0,3320602.0,3431052.0,3621596.0,3687654.0,3850457.0,4006928.0,4127697.0,4344437.0,4466362.0,4432319.0,4472477.0,4668307.0,4520952.0,4710409.0,4850995.0,4889034.0,4986825.0,5207611.0,5218977.0,5409067.0,5622317.0,5711652.0,5695324.0,5801887.0,5716325.8,5894157.5,5815383.2,6071671.9,6099287.7,6133016.4,5948057.8,5775442.6,5707699.6,5785422.0,5814617.0,5864447.66,5782000.0,5980000.0,5793000.0,5738000.0,5755000.0,5753000.0,3375000.0
Hawaii beer consumption,Pacific,337700.0,383400.0,370300.0,440000.0,475000.0,515000.0,560000.0,610000.0,703000.0,720000.0,790000.0,690000.0,810000.0,891000.0,955900.0,1004800.0,903200.0,961400.0,941761.0,960723.0,962968.0,1006375.0,972182.0,1047404.0,1018177.0,1023968.0,994987.0,968096.0,941997.0,974098.0,952026.0,927242.0,920948.0,942053.0,939113.0,951495.0,966926.48,976815.42,988526.48,989931.0,1006561.97,1009966.52,992500.0,984000.0,985000.0,1018000.0,1021000.0,1041000.0,1013000.0,1057000.0,1031000.0,1027000.0,1014000.0,918000.0,532000.0
Idaho beer consumption,Mountain,354798.0,368341.0,401877.0,439844.0,480104.0,531138.0,562435.0,621051.0,647269.0,683223.0,699579.0,716809.0,754701.0,773489.0,788854.0,754523.0,758753.0,748455.0,722744.0,726649.0,708772.0,681420.0,706934.0,743472.0,745536.0,777637.0,771400.0,783500.0,759519.0,789581.0,784595.0,809559.0,835005.0,846953.0,888741.0,911876.0,929273.16,939860.97,934764.09,989355.78,1023282.16,1046606.52,1036503.76,1021510.22,989408.1,987314.32,994608.38,991667.36,1005341.74,1015586.28,1017609.58,1032046.87,1005175.0,1054464.78,655488.61
Illinois beer consumption,East North Central,6651330.0,6783302.0,6805469.0,7102911.0,7243833.0,7244829.0,7360054.0,7741363.0,8022413.0,8153082.0,8433442.0,8693847.0,9128366.0,9206604.0,9303733.0,9166614.0,9275229.0,9146725.0,9043899.0,9204356.0,9369026.0,9367431.0,9176132.0,9486982.0,9067099.0,8927691.0,8882737.0,8954755.0,8853579.0,8761963.0,8779305.44,8936316.0,9017249.0,9038323.0,9155381.0,9268188.0,9108157.05,9032851.07,9063266.56,9153674.68,9209717.78,8999623.53,8803856.05,8842589.7,8580605.85,8708195.11,8507507.31,8468710.36,8609503.44,8581524.11,8362464.34,8205883.21,8087252.7,7802988.26,4614393.85
Indiana beer consumption,East North Central,2487132.0,2563651.0,2643365.0,2711024.0,2771217.0,2796440.0,2871574.0,2889810.0,3018398.0,3169047.0,3370110.0,3592550.0,3684756.0,3874415.0,3948031.0,3973009.0,3935024.0,3908499.0,3894918.0,3914666.0,3900670.0,3923213.0,3883091.0,4008507.0,3905111.0,3783514.0,3771911.0,3823111.0,3767912.0,3825685.0,3844952.0,3846528.0,3925908.0,3954209.0,3947446.0,4021685.0,3905265.22,3993643.0,3998855.0,4011813.53,4164991.37,4154936.33,4061101.31,4005194.37,3851376.14,3866077.0,3759797.0,3660010.0,3668939.0,3673585.0,3628904.0,3781080.44,3771890.34,3739173.1,2232462.88
Iowa beer consumption,West North Central,1445053.0,1478207.0,1505892.0,1622377.0,1674268.0,1713528.0,1810673.0,1967654.0,2019396.0,2064381.0,2173983.0,2311041.0,2330946.0,2317271.0,2330934.0,2287884.0,2307777.0,2239938.0,2128498.0,2142039.0,2110311.0,2096585.0,2084008.0,2114019.0,2116941.0,2113969.0,2088186.0,2126174.0,2073476.0,2124742.0,2138501.0,2221431.0,2265235.0,2298817.0,2295235.0,2349692.0,2364617.2,2398203.23,2392252.36,2397026.89,2411203.13,2482508.36,2513061.45,2481839.97,2404765.23,2419031.83,2394520.06,2385580.21,2379423.57,2389414.4,2322892.29,2299000.0,2225403.72,2302356.73,1365270.67
